id,ime,leto,odigrane minute,meti 3 točke,poskusi 3 točke,meti 2 točki,poskusi 2 točki,prosti meti,poskusi prostih metov,skoki v napadu,skoki v obrambi,asistence,ukradene žoge,blokade,izgubljene žoge,osebni prekrški
CHI,Chicago Bulls,1989,19780,174,530,3274,6438,1656,2106,1018,2453,2213,722,376,1327,1855
LAC,Los Angeles Clippers,1989,19855,54,234,3472,7194,1606,2220,1156,2384,2208,815,530,1666,1937
SAS,San Antonio Spurs,1989,19755,63,293,3406,7116,1651,2367,1295,2181,2037,961,423,1712,2153
SAC,Sacramento Kings,1989,19780,307,824,3055,6527,1620,2104,1141,2454,1970,624,409,1370,1877
UTA,Utah Jazz,1989,19730,114,380,3068,6215,2110,2742,1050,2607,2108,720,583,1532,1894
CHH,Charlotte Hornets,1989,19780,134,430,3292,7000,1580,2060,1138,2200,2323,705,264,1318,2068
NJN,New Jersey Nets,1989,19805,187,568,3146,6658,1653,2260,1204,2419,1793,773,431,1449,1966
DAL,Dallas Mavericks,1989,19780,211,681,3033,6236,1785,2263,1048,2397,1867,579,476,1233,1739
MIA,Miami Heat,1989,19855,97,298,3124,6818,1477,2103,1309,2211,1958,744,408,1728,2124
GSW,Golden State Warriors,1990,19705,243,750,3246,6458,2313,2858,915,2385,1978,756,488,1415,2010
PHO,Phoenix Suns,1990,19855,176,543,3368,6596,2159,2716,1053,2651,2109,668,501,1275,1825
DEN,Denver Nuggets,1990,19805,228,677,3488,7338,1737,2201,1169,2532,2275,814,329,1136,2047
POR,Portland Trail Blazers,1990,19880,190,565,3382,6982,2031,2734,1355,2552,2085,749,364,1356,2048
ORL,Orlando Magic,1990,19805,116,393,3341,7132,2060,2725,1304,2465,1993,617,294,1407,1975
LAL,Los Angeles Lakers,1990,19855,309,841,3125,6169,1902,2417,1097,2460,2232,655,445,1226,1737
PHI,Philadelphia 76ers,1990,19805,189,543,3248,6485,1976,2509,1111,2406,1932,687,365,1209,1697
BOS,Boston Celtics,1990,19705,106,404,3457,6744,1791,2153,1066,2707,2423,539,455,1256,1717
CHI,Chicago Bulls,1990,19830,250,669,3281,6421,1665,2140,1075,2279,2172,814,388,1247,1906
IND,Indiana Pacers,1990,19880,294,770,3087,6037,1906,2335,940,2388,2023,552,350,1342,1972
ATL,Atlanta Hawks,1990,19730,124,411,3293,6608,1943,2544,1273,2187,1820,717,353,1270,1871
NYK,New York Knicks,1990,19830,236,710,3198,6379,1775,2349,1187,2426,2140,714,492,1412,1828
WSB,Washington Bullets,1990,19830,37,197,3561,7384,1599,2093,1198,2450,2214,561,424,1201,1929
SEA,Seattle SuperSonics,1990,19905,231,650,3235,6593,1606,2167,1323,2255,1874,701,335,1336,2064
UTA,Utah Jazz,1990,19830,226,630,3104,5963,1874,2484,953,2501,2212,677,491,1410,2031
HOU,Houston Rockets,1990,19805,153,491,3330,6759,1633,2267,1217,2638,2194,809,551,1513,1934
